,Generated Text,Actual Text
41,"El Paso recently filed their proposal to reallocate receipt point capacity
Comments are due on Thursday, May 17, 2001",El Paso's Proposal to Address the Allocation of Receipt Point  Capacity
42,"To the HR Generalist Community:   The Livelink team is making every effort to post up-to-date answers to assist you in addressing employee questions in key topic areas
Over the past two days, a significant amount of new information has been posted on the site",Livelink update
43,"I received info for the Spring 2002 Singles League
League will not start until February, but the roster and team fee have to be postmarked by Dec",Spring Singles League
44,"Greetings:  Steve Kean and I met today with Jack Stewart, Pres
of the California  Manufacturer's and Technology Ass",Meetings w/Consumer Groups
45,"Tracy,  could you please send me the info for TW Commercial for the 3rd CE and also the TW 2002 plan detail
Please send me any updates as they occur also",Tw CE and 2002 Plan
46,"i just heard that scooter is working at dynegy
e-mail me back",Good gossip
47,"Enron employees not participating in contract parking are eligible to receive Metro Bus Passes or Woodlands Express Passes
You may pick up a bus pass from the Parking & Transportation Desk, on Level 3 of the Enron Building, from 8:30 AM to 4:30 PM","Metro Bus Passes and Woodlands Express Passes Available Effective   Friday, December 28, 2001"
48,"Attn
Jim Fernie  Pls",PORT SUMMARY
49,"Enclosed is a revised Term Sheet, one copy of which has been marked to show  changes from Fred's last draft
The Term Sheet is intended to be in no way binding;  references to  the  proposal being held  ""open"" have been deleted",Revised SD Warren Term Sheet
50,"Tom,   I have included the information that I received from the potential candidates regarding their Roll-off Dates
By in large, all seem to be willing to be flexible with regards to a start date if it could be negotiated with their current rotational head",Rotation Roll-off Dates for Associate Candidates
51,"Attached is a FERC proforma tariff
However, each transmission provider will have its own version approved by the Federal Energy Regulatory Commission (FERC) and it could contain substantial changes",Pro forma Open Access FERC Transmission Tariff
52,"It's official!
Dawn and Gary Wilson are the proud parents of a beautiful baby girl
She was born at 10:41am on 9-20-01, and weighed in at 6lbs, 13oz",Baby Wilson is here
53,"I received a call from Jay Boudreaux (CTG group working with paper & pulp)  about presenting ""agreements"" to the lender (Paribas) for review in  connection with the loan for construction of the mill
I know that Jarrod  has prepared ""draft confirms"" for these companies but I don't know if anyone  has raised the ISDA issue",ReBox/EcoFiber
54,"Thank you for allowing me to explain the UBS relocation policy
I have included a repayment agreement that must be printed out, signed and faxed back to 203-205-3934 at your earliest convenience",Relocation
55,"Paul,   Please replace both references to ""the Southern District of Texas""  with ""the  District of Columbia"" in the arbitration provision
Please let me know if  this does not work for you",Arbitration Language
56,"GMAT REVIEW AT ENRON  The next GMAT review course at Enron will begin the week of October 15th
Two schedules are being offered: 	Course # 7129-00:  Tuesdays, Oct 16 - Dec 11 (no class Nov 20) 	Course # 7129-01:  Thursdays, Oct 18 - Dec 13 (no class Nov 22) PLEASE NOTE that the two schedules are not interchangeable; employees should enroll in their preferred schedule and stick to that schedule",GMAT Review available at Enron
57,"Today we discovered that ENA has 310,000 MMBtu parked with The Consumers' Gas Company Ltd (an affiliate of Enbridge Inc",Enbridge Consumers' Gas Park & Loan
58,"I don't know if you have been keeping up with the recruiting info but Mack  has committments from 4 blue chippers already
One of them is the top LB in  Arizona",Committments
59,Dear Kenneth  We are currently out of stock of the Adidas style #671521 in size 105,OUT OF Stock
60,"RBoyle@nyisocom writes to the NYISO_TECH_EXCHANGE Discussion List:   After reviewing the dates in Attachment A of the ICAP manual, I noticed that there is not enough time between various obligation dates to process information",ICAP Attachment A revisions
61,"General Whalley,  Kept thinking I would see you around outside to tell you personally how excited I was to hear of your promotion
Just wanted to take a moment to tell you  how proud I am of you and your accomplishments",Congratulations
62,"Hey Rob,  I am trying to create index products for Feb and I don't see the Jan products  to copy
I need HPL HSCX, HPL HSCX E, HPL Agua Dulce, HPL Thompsonville, and  Corpus Christi Pool",Products
63,"Dear Jason Wolfe,  Thank you for your interest in the 2002 Ford Thunderbird Premium found on a Ford Motor Company Website
To ensure you receive our most competitive price, I am checking your request against our available inventory",Response to your Inquiry
64,"Ken, this is Pat Koenig
I just wanted to send you a quick email and let you know you have my admiration and support ( I know it isn't much)",(no subject)
65,"This is just a reminder?
This Thursday, July 12 you were invited to attend an Astros game with Barry Tycholiz",Astros game
66,"Is this what you think John wants to see, or should we go into more detail?
I tried to get the storage guys a meeting with these guys earlier in the summer but I was not successful
I do not know if they were ever successful in getting that meeting",WBI Storage info
67,"We have received the fully executed Unanimous Written Consent of Managers of  EnronOnline, LLC  dated 11/6/00, effective as of 10/11/00, which appoints  Amita Gosalia, Dale Neuner and Sheri Thomas as agents and attorneys-in-fact  to execute Password Applications on behalf of EOL
This resolution will  expire one year from the date of its effectiveness",EnronOnline Password Application Signatories
68,"Jeff,  I am an Enron Wholesale Services attorney who is advising on ENA gas transportation matters
Elizabeth Sager suggested that I contact you about assisting me with the preparation of a Motion to Reject the bulk of the executory transportation service agreements that ENA has with interstate pipeline companies",Motion To Reject Gas Transportation Contracts
69,"John,  Jeff and I had many excellent meetings with your team and received a very= =20 good run down of their businesses
We went out to dinner with the key=20 players and I think they understand our new vision and they appeared to be= =20 fired up",Crude and products business plan
70,"Transfer
Section 7 is hereby amended by adding the following Subsection (c):  ""(c)  Party A may transfer its rights and obligations under this Agreement,  in whole but not in part, to any Affiliate so long as the obligations of such  Affiliate are guaranteed by Enron Corp","Alternative language for ""Transfer"" provision of ISDA Schedule"
71,"Jeff:  It was an honor to represent EBS at the Dell meeting this morning
We are very excited about the three transactions we feel we can close with Dell in the near future",Dell Meeting
72,"Joe:   Steve asked that I pass the following request along to you
Kathy Cash, reporter for McGraw Hill, called wanting Steve's comments on the  regional market/policy info released by FERC today",Request for McGraw Hill
73,"For those of you that will be in the office after New Year's, we will begin an informal fundies meeting each day to cover what has happened in the market since we filed for bankruptcy
We will go over pipeline flows, storage balances, weather, monthly and daily prices, etc",FUNDIES MEETING EVERY DAY BEGINNING NEXT WEEK
74,"Effective immediately Sean Riordan @X5-4298 will be responsible for Deal Validation issues
He is taking over all my current duties as I will be moving to a new group",Deal Validation
75,"Tana, Wendi Lebrocq called re: Ameren Energy, Inc, as agent for Central Illinois Public Services Co",Ameren Energy
76,"Hi Susan  Attached, please find the list of contracts with contract numbers
Please  provide as soon as you can, and if you don't mind, can you please give me an  estimated time",Hard Copies of the below Referenced Contracts
77,"Andrew,  Attached is a draft of the Master Firm/Purchase between EES and ECS  and its accompany Transaction Agreement
I think it does make sense to have  a separate agreement to encompass the overall annual true between the power  and gas sides",Enfolio Agreement EES and ECS
78,"Effective immediately, responsibility for the operational, environmental, safety and social audits of Enron facilities is transferred from Enron Transportation Services (ETS) Quality Management to Corporate Public Affairs under Mike Terraso, Enron's vice president of Environment, Health and Safety, and Chief Environmental Officer
The current directors of Facility Audits, Chuck Goode and Steve Allen, will report to Mike and will be responsible for leading the corporate asset operations audits",Organizational Announcement
79,"I always compile a contact list for Energy Operations during the holidays  (Thanksgiving, Christmas and New Years)
Just let me know who appropriate  contacts will be, especially for the DPR and MPR, during the dates that you  are out",vacation plans
80,"Welcome to Enron Center South
As you have probably already noticed, things look a little different here",Enron Center South Technology Watch
81,"Mark:  Do we have any special considerations/expertise with respect to the  evaluation of ""internet trading platform"" agreements?
I am starting to see  more of these from Gary's group
Please let me know",Intelligent Markets / Buy Side Direct
82,"Your order has been shipped
Thank you",INTERNET ORDER: Sierra Trading Post Order E703207
83,"Hi Rebecca,  I'm trying to locate the sig pages for the NW guaranty
These were the docs  that I approved after I had approved the letter agreement",Search for sigs
84,"Last week was the hardest week that our office has ever experienced
When I look down the list of people who were laid off I see the names of some very talented people",Layoffs
85,"You have received this message because someone has attempted to send you an e-mail from outside of Enron with an attachment type that Enron does not allow into our messaging environment
Your e-mail has been quarantined and is being held at the MailSweeper server",An Inbound Message For You Has Been Quarantined
86,"Thomas is setting up a new NGP&L file and would like us to save a copy of each P&L to Netco\2002\0102\region#0102
Once you decide how you are going to break them up, one file for each book or combine them together, can you save them out there so he can start linking them",regions file
87,"GEOGRAPHICAL AREA COORDINATION CENTER INTERAGENCY FIRE FORECAST WARNING UNIT RIVERSIDE, CALIFORNIA                       0930 pdt Thursday February 28, 2002  ***CHANGE FIRE WEATHER WATCH TO RED FLAG WARNING FOR SANTA ANA WINDS FROM 0600 HOURS FRIDAY THROUGH 1400 HOURS SUNDAY OVER THE MOUNTAINS AND THROUGH AND BELOW CANYONS AND PASSES OF   SOUTHERN CALIFORNIA FROM VENTURA COUNTY SOUTHWARD***  DISCUSSION",[EDIS]  FIRE WEATHER BULLETIN [News: Statewide]
88,"Hello All -- With all the uncertainty this has been a difficult project to concentrate on, however, here is a first stab at establishing criteria for evaluating the prospects for retail service state-by-state, and by major LDC
Some of these criteria may be consolidated or eliminated as the matrix progresses",Natural Gas Strategic Profile
89,"Your mailbox has exceeded one or more size limits set by your administrator
Your mailbox size is 120879 KB",Your mailbox is over its size limit
90,I am coming in this weekend to box up for the big move,Clean Sweep
91,"As part of the modelling process, Marc is going to meet with James Scribner  on Tuesday morning at 9:00 am to review our operations pricing model
If you  can join them, you might find it interesting",Commercialization of Back Office Services
92,"Fuel cells kindle investor energy By Beverly Goodman Redherringcom, November 27, 2000  Companies with no earnings",FCE
93,"Gentlemen, 	Seminole Energy Services LL",Seminole Energy Services L.L.C. Online trading request
94,"There is a pretty large group of us going to the  Firehouse for New Year's eve this year
Most of the people that attended  the Christmas party and most of the people who went to Schroeder Hall last  year",New Years
95,"Thursday, May 10 at 10 am",eThink About It: 5/7/01
96,"Dear Mr Lay,  I went home yesterday along with the other 3,999 employees who lost their jobs at Enron",Please continue to push for additional severance
97,"The promotional memo came out a few hours too late today for me to be able to  mention it when we talked this afternoon
Congratulations on your promotion  to managing director!
--Sally

",Congratulations
98,"If you are unable to send the completed reply form at this time, please forward your shirt size so we can finalize the order
Shirt sizes are as follows: Small / Medium (chest size 34"" - 36"") Large / X-Large (chest size 42"" - 44"") XX-Large (chest size 46"" - 48"") The shirt is a short-sleeve, button down cotton print",SHIRT SIZES
99,"Ginny,  Please see the attached guaranty
A clean and redlined version are  attached",Enron Corp. Guaranty
100,"If you are a participant in the Enron Corp Savings Plan, please read this very important message",IMPORTANT-To All Domestic Employees who Participate in the Enron  Corp Savings Plan
101,"I ran a redline from the last version I had electronically
I've forwarded the current version to Herman for his review and approval",Shaeffer redline
102,"This is to advise you that we have available, for your business or personal  use, Stan's four (4) WNBA Comets tickets
These seats are in Section 104,  Row D, Seats 1-4",STAN'S WNBA 2001 SEASON COMETS TICKETS
103,"Ms Lemont:  It is our understanding that in connection with the opening of the referenced account, Bear Stearns has agreed to allow ECT Europe to sign the same form of Institutional Account Agreement that Enron Credit Inc","ECT Europe Finance, Inc. (""ECT Europe"")"
104,"Sherrie and Rosie:  Jeff and Ken both received notes from Tom Delay about  designating portions of their contributions for use  in Texas
Mr",Jeff Skillings' letter from Tom DeLay re: RNSEC
105,"This message is for those of you with laptops
We have had some problems with laptops being able to dial into the network using the modem since the upgrade to Outlook has taken place",***MESSAGE FOR LAPTOP USERS ONLY***
106,"When: Tuesday, March 26, 2002 3:00 PM-5:00 PM (GMT-06:00) Central Time (US & Canada)
Where: ECN 8c1  *~*~*~*~*~*~*~*~*~*   The above mentioned meeting has been cancelled, and will be rescheduled at the earliest next week",Canceled: Wholesale Business Plan
107,"We learned today that the Court of Appeals for the Federal Circuit has modified its opinion of August 9, 2000 in which it found the 2003 Prozac patent invalid for double patenting
In essence, the Court has again ruled that the patent is invalid for double patenting, but has used a different analysis to reach this conclusion",CAFC Ruling on 2003 Prozac Patent
108,"EXECUTIVE SUMMARY Senator Keeley Spearheads a New ""Plan B"" State to Offer Little Aid in PG&E Bankruptcy  Keeley's Collective ""Plan B"" Sources report that additional details for the Plan B have just been ironed=  out on the Assembly side
The Assembly is working to announce a plan ""as = soon as possible""; this announcement could come this afternoon",California Update p.2; 5/29/01
109,"Richard B
Buy EVP & Chief Risk Officer Enron Corporation 1400 Smith Street - 50th Floor Houston, Texas 77002-7361  RE:  Reception & Dinner on      October 24, 2001 in Houston, Texas  Dear Mr",Save the Date
110,"Based on today's closing NYMEX prices there is $19 MM of price difference  between EcoElectrica's 2002 Winter Cargo Commodity Charge plus Commodity  Surcharge and the delivered cost of 83,000 CBM of LNG",EcoElectrica LNG Cargo in January 2002
111,"Given the growth in EES it has become apparent that it is time to consolidate the risk functions between EES and EWS
This will provide EES with the systems, resources and risk expertise of the wholesale energy groups necessary for it to continue to grow and take advantage of current market opportunities",Organization Announcement
112,"Marie - per our conversation last week, attached are the proposed Schedule and Credit Annex Paragraph 13 for your review
Please call me after you have had the chance to take a look at it",proposed ISDA
113,"Marcelo:    We need to eliminate Appendix B altogether
We have previously agreed to  eliminate substitution and FAS 125 does not require substitution",Repo comments
114,"For those of you I have not told, my brother Eric was recently laid off from Siemens out of Atlanta
He is looking for a sales position, especially in the field of medical devices",Help!
115,"Lou, do we have any sort of policy on requests like this?
Lee Huber made the  same request last year and we gave her the chair (she only wanted one,  however)
Norma, any thoughts?

",Request to purchase chair(s) for Susan
116,"As you know, the US",Media Reports
117,"Attached is an updated ""contact"" list for UBS Warburg Energy Operations
Please disregard prior list sent","Revised ""Contact List"" for UBS Warburg Energy Operations -  February, 2001"
118,"I am recommending Linda Robertson (currently Assistant Secretary for the  Department of the Treasury) for the position Vice President and General  Manager of Federal Government Affairs
Linda would head our Washington, D",Vice President Recommendation
119,"Please find attached the latest, and what should be the final for the immediate period of time, copy of the marketing list
Please filter the PA column by your name to double-check against the list you are currently working off of",Latest Marketing List
120,"I want to remind everyone when NNG calls on the Carlton Resolution, we can NOT 	allow ANY deliveries at Carlton
At each cycle, please be sure you monitor any deliveries at Carlton 	and let Steve, Gary or Darrell know if you see any nominations",Carlton Resolution - PLEASE READ!!!!
121,"Rick: FYI
This should have alos been sent to you",Updated Contact List
122,"Please check your records and let me know if you have any kind of documentation evidencing a merger indicating that Mercator Energy Incorporated merged with and into Energy West Incorporated?
I am unable to find anything to substantiate this information
Thanks for your help",MERCATOR ENERGY INCORPORATED and ENERGY WEST INCORPORATED
123,"Marie - Here is the document with your most recent changes incorporated
We should probably think about preparing a deemed ISDA with the same concepts included",Hedge Fund Template - ISDA
124,"The Teams intent as commissioned by John Keller and Jerry Martin was to outline roles and responsibilities as they relate  to the ETS Project Processes
The Team has worked fervently over the last several months with the intent of improving our current process","ETS Project Process - Team Document ""Draft"""
125,"Fletch,  Can you buy/sell gas on EnronOnline?
We're working up a concept for a possible play for Monday
Would like to bounce it off you when you have a moment",Gas and Power
126,"Mitch,  Here's a first draft
Please suggest any additional complaints/shortfalls  which we need to raise",PRIVILEGED and CONFIDENTIAL
127,"Louise,  I received the attached questions from Gas Daily regarding our disaster  preparedness
Jeff Shankman asked me to forward them to you",Questions about emergency plans
128,"Please work with Richard Sanders to decide on the distribution list which  should include all MDs and Robert Knight
I want to get it out by  Wednesday",Retention Policy on Trading Tapes
129,"Central Puerto has been unresponsive to Marie's requests for original  documents
Can someone please contact Marie and help us speak with the  counterparty?
Thanks",Central Puerto
130,"As a result of restructuring out-of-the-money transactions with BP Capital  and T Boon Pickens, we have a total of $9,530,935 in the Schedule C for the  NG Price book",Schedule C Explaination / Documentation
131,"All,  You are all confirmed as interviewers for the Trading Track -  November 1st
We have 33 candidates to be interviewed (a combination of both internal and external candidates)",November 1st  - Trading Track Interviews
132,"Justy,  We are going to be trading with Deutsche Bank out of their New York and  London branch offices online
Per my conv",UK Online Documents
133,"RE:  NOTICE TO CLAY BASIN CAPACITY HOLDERS  Questar Pipeline Company (Questar) is planning to perform Clay Basin inventory verification and deliverability tests beginning April 2, 2002
These tests will involve a 14-day shut-in of Clay Basin for reservoir gas inventory verification followed immediately by a 2-day field deliverability test","""Critical"", Maintenance, 20020402, QPC, 092027077"
134,"Today, Enron hosted a conference call to give investors a current overview = of the company
Here's an update of what we discussed during the call",Overview of Investor Conference Call
135,"Hi, I wanted to let you know that the CADER's DG conference on November 1-2, 2001 in San Diego, will be held as scheduled
Please disregard this message if you have already registered for the conference",CADER's DG Conference in San diego.
136,"If you are a participant in the Enron Corp Savings Plan, please read this very important message",IMPORTANT-To All Domestic Employees who Participate in the Enron  Corp Savings Plan
137,"Mine:        For September 28: An agreement or legal matter improves today
You are                      able to reach an understanding in a previously tense  affair","Mine's good, but check out his."
138,"Attached are the purchases and sales with New Power for the month of  November
The invoices are on their way, I think it would be easier to sort  and review the data in excel",Nov Invoice
139,"Dear HBS Alumni: b3686a1jpg Spend an evening on the water in Galveston Bay!
Join your fellow alumni for the first social event of the year",HBS Club Dinner Boat Cruise October 6
140,"Just thinking about you and my enron friends
I finally sold my enron stock last week for $5",Are you okay
141,"Soma:  Let me know when you'd like to further discuss
I'm attaching a short  recap",Rehypothecation of securities
142,"Sam- Here is a little something about my grandfather:   Dr Walter Herschel Burgess was a 1950 graduate of Alabama Polytechnic  Institute, now Auburn University
He practied vetinary medicine for 38 years  in Haleyville, Alabama",Dr. Burgess
143,"For today's noon call
when you open, answer ""disable macros"" to first  prompt, and ""no"" to question about links",Portfolio file for distribution
144,"Due to current business circumstances, on November 28, 2001, Enron's Board of Directors adopted an amendment to the Enron Corp Savings Plan",PLEASE READ - IMPORTANT INFORMATION FOR PARTICIPANTS IN THE ENRON  SAVINGS PLAN
145,"Rick,  It was good running into you last week
I am currently looking for new opportunities",Need Contact
146,"I know that you were in the Rio office during the latter part of last week
I sent you an e-mail last week to see how you were doing with the  research/memo",Financial Trading memo
147,"Hi Judy,  I just wanted to let you know that we have a few contracts that are close to completion
Aquila has been sent for execution and MainLine should be sent over on Monday for us to execute",GISB status
148,"Deal excluded on Services desk on the original version and ST  SW desk was adjusted differently
Please see me if you have any questions","Pac (t) true up for July, 2nd version"
149,"Did you ever receive any paperwork from this fund on behalf of Zachary?
How  was NY?
Mother sure is talkative these days
Hope all is well  Sass

",MUNDER FUNDS DAILY PRICE (NAV) CLOSINGS
150,"Further to my message of yesterday evening, I have spoken with the MSCS  lawyer in London and learned that EnronCreditcom Limited (""ECCL"") has  finalized its ISDA Master Agreement and CSA with MSCS","Morgan Stanley Capital Services, Inc. (""MSCS"")"
151,"Mike,  Mary Cook is a new attorney that joined our Group yesterday
Can you get her  full access to the referenced database, and let us know when such access is  granted",Financial Trading Agreements Database
152,"David: Here is the KM draft
Should Mark, you and I meet to go over procedures as  well as what has ben done in the past?
Carol

",Kinder Morgan
153,Friday's Contents: 104,Reed Wasden Research - Daily Update 1/04/02
154,Tanya:  Both ENA (rate) and Enron Corp(equity forwards)  are seekig master  agreements with MSCS,"Morgan Stanley Capital Services Inc. (""MSCS"")"
155,"The latest deal pipeline can now be accessed via S\Forecast Deal Pipeline\
The resolution centre has given read access to all recipients of this report, including those in the US",Deal Pipeline sent 251001
156,"The Corporate Internal Communications team would like to thank each of the 5,142 employees who took the time to complete our survey
As promised, here are the numerical results",Results of Internal Communications Survey
157,"Tanya:  Enron Corp, (global finance) has a FASB 125 structured deal executed in Dec,  2000 which requires amendment for tax purposes","Project Cerberus - amended to introduce the swap counterparty  Rabobank (""Rabo"")"
158,"This is the 3rd time that I have attempted to get an answer to the following question:  Has or was more than one petition been filed before the bankruptcy court for severance or financial relief for terminated employees
At the time of the terminations, we were told in a group meeting that the $4500 requested and approved by the judge was the first of several petitions before the bankruptcy judge for severance on behalf of the terminated employees",3rd Request
159,"I have spoke to Jeff Harbert about the use of ""Fallback Reference Price"" in  the confirms and the need for an additional provision addressing  ""Postponement"" (which will override our defintion of Postponement in the  Master Agreement)
Please take note of this in preparing new confirms",Pulp and Paper Confirmations
160,"Kay,  did you know that the Deerfield option agreements are not held by deerfield (they are held by lauderdale), & that the permits are held by a lauderdale subsidiary?
Bart wants to know if it makes sense to file for deerfield & not for the other LLC's where the project assets are held
Can you answer this because bart is standing over my shoulder",Deerfield
161,"Wade, please forward this to the person that pays Statoil
AND I just faxed  you a copy of the invoice Kara faxed me",Statoil Invoice
162,"Tony, I thought there would be a case that stated that if an interstate  pipeline posts the criteria under which it will evaluate capacity bids, it  must stick to those criteria and not award the capacity to a bidder on some  other basis
It seems a simple enough extension of the principle that  capacity must be awarded on a nondiscriminatory basis",thoughts on Enrononline
163,"Dear Lori,  Just a quick question:  Shayne Newell here (working on the petition) had the company name quoted to her (at a meeting regarding assets in the company) as:  Enron Capital & Trade Resources Investment Corp  Is there another entity out there with that name rather than Enron Capital & Trade Resources International Corp",Capital & Trade
164,"The following file contains a graphical view of the North American Gas average deal count by Trader and Product for EOL
This information is for comparative analysis only",EOL Average Deal Count by Trader and Product as of 5-22-01
165,"Attached are my accomplishments for the first half of 2000
I should have  had these for you on Tuesday for your PRC",Accomplishments
166,"The Enron Center Garage has opened
Employees who work for business units that are scheduled to move to the new building and are currently parking in an Enron Contract garage you are being offered a parking space in the new Enron Center garage",Enron Center Garage
167,"Ken,  Attached is the revised agency agreement
I accepted all you changes  you forwarded earlier and added an indemnity section",Revised Agency Agreement
168,"In preparation for Friday's Bank Conference, Cheryl Lipshutz and I are sitting with the banks right now and we understand that you are meeting with them at 2pm this afternoon
Here is a list of the initial questions they are posing to the RAC group:  RAC 1",Question for Bank Meeting Today
169,Dear Enron Employees:  I am saddened to inform you that there was an explosion and fire at our Teesside power facility in England at approximately 2:40 pm,Memo from Jeff Skilling
170,"As you know, Enron has signed a merger agreement by which Dynegy will acquire Enron
We expect the transaction to close following shareholder and regulatory approvals and various conditions to closing",Enron/Dynegy Merger; Antitrust Issues
